codigo | descricao | tipo | classificacao | comprimento_mm | id_materia_prima | id_fornecedor | id_maquina | estoque_minimo | estoque_seguranca | consumo_mensal | massa_kg | estoque
087/1 | Parafuso sextavado M10X50 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 300
088 | ARRUELA LISA P/ Ø10 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 200
088/1 | ARRUELA DE PRESSAO P/ Ø10 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 600
090 | FORQUILHA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 120
090/20 | FORQUILHA | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 85
090/1 | PINO DA FORQUILHA | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 250
090/2 | ANEL ELASTICO 3PONTAS Ø9mm | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 300
090/3 | ANEL ELASTICO E12 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 300
095/3 | PARAFUSO CAB SEXT M14X60 | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
096 | TERMO DE GARANTIA | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
096/1 | ADESIVO C/MENSAGEM | COMPRADA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
097 | COTOVELO INVERTIDO P/O400 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
098 | EMPURRADOR P/O400 | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
099 | SCANIA | PRODUZIDA | ITEM | NULL | NULL | NULL | NULL | NULL | NULL | NULL | NULL | 0
